,dteday,hr,weekday,cnt_hour,weathersit,cnt_day
76,2011-01-04,8,Wednesday,179,Clear,1562
77,2011-01-04,9,Wednesday,100,Clear,1562
78,2011-01-04,10,Wednesday,42,Clear,1562
79,2011-01-04,11,Wednesday,57,Clear,1562
80,2011-01-04,12,Wednesday,78,Clear,1562
81,2011-01-04,13,Wednesday,97,Clear,1562
82,2011-01-04,14,Wednesday,63,Clear,1562
83,2011-01-04,15,Wednesday,65,Clear,1562
84,2011-01-04,16,Wednesday,83,Clear,1562
85,2011-01-04,17,Wednesday,212,Clear,1562
86,2011-01-04,18,Wednesday,182,Clear,1562
87,2011-01-04,19,Wednesday,112,Clear,1562
88,2011-01-04,20,Wednesday,54,Clear,1562
89,2011-01-04,21,Wednesday,48,Clear,1562
90,2011-01-04,22,Wednesday,35,Clear,1562
91,2011-01-04,23,Wednesday,11,Clear,1562
92,2011-01-05,0,Thursday,6,Clear,1600
93,2011-01-05,1,Thursday,6,Clear,1600
94,2011-01-05,2,Thursday,2,Clear,1600
95,2011-01-05,4,Thursday,2,Clear,1600
96,2011-01-05,5,Thursday,3,Clear,1600
97,2011-01-05,6,Thursday,33,Clear,1600
98,2011-01-05,7,Thursday,88,Clear,1600
99,2011-01-05,8,Thursday,195,Clear,1600
100,2011-01-05,9,Thursday,115,Clear,1600
101,2011-01-05,10,Thursday,57,Clear,1600
102,2011-01-05,11,Thursday,46,Clear,1600
103,2011-01-05,12,Thursday,79,Clear,1600
104,2011-01-05,13,Thursday,71,Clear,1600
105,2011-01-05,14,Thursday,62,Clear,1600
106,2011-01-05,15,Thursday,62,Clear,1600
107,2011-01-05,16,Thursday,89,Clear,1600
108,2011-01-05,17,Thursday,190,Clear,1600
109,2011-01-05,18,Thursday,169,Clear,1600
110,2011-01-05,19,Thursday,132,Clear,1600
111,2011-01-05,20,Thursday,89,Clear,1600
112,2011-01-05,21,Thursday,43,Clear,1600
113,2011-01-05,22,Thursday,42,Clear,1600
114,2011-01-05,23,Thursday,19,Clear,1600
115,2011-01-06,0,Friday,11,Clear,1606
116,2011-01-06,1,Friday,4,Clear,1606
117,2011-01-06,2,Friday,2,Clear,1606
118,2011-01-06,4,Friday,1,Clear,1606
119,2011-01-06,5,Friday,4,Clear,1606
120,2011-01-06,6,Friday,36,Clear,1606
121,2011-01-06,7,Friday,95,Clear,1606
122,2011-01-06,8,Friday,219,Clear,1606
123,2011-01-06,9,Friday,122,Clear,1606
124,2011-01-06,10,Friday,45,Clear,1606
125,2011-01-06,11,Friday,59,Clear,1606
126,2011-01-06,12,Friday,84,Clear,1606
127,2011-01-06,13,Friday,67,Clear,1606
128,2011-01-06,14,Friday,70,Clear,1606
129,2011-01-06,15,Friday,62,Clear,1606
130,2011-01-06,16,Friday,86,Clear,1606
131,2011-01-06,17,Friday,172,Clear,1606
132,2011-01-06,18,Friday,163,Clear,1606
133,2011-01-06,19,Friday,112,Clear,1606
134,2011-01-06,20,Friday,69,Clear,1606
135,2011-01-06,21,Friday,48,Clear,1606
136,2011-01-06,22,Friday,52,Clear,1606
137,2011-01-06,23,Friday,23,Clear,1606
138,2011-01-07,0,Saturday,17,Mist,1510
139,2011-01-07,1,Saturday,7,Mist,1510
140,2011-01-07,2,Saturday,1,Mist,1510
141,2011-01-07,4,Saturday,1,Mist,1510
142,2011-01-07,5,Saturday,5,Mist,1510
143,2011-01-07,6,Saturday,34,Mist,1510
144,2011-01-07,7,Saturday,84,Mist,1510
145,2011-01-07,8,Saturday,210,Mist,1510
146,2011-01-07,9,Saturday,134,Mist,1510
147,2011-01-07,10,Saturday,63,Mist,1510
148,2011-01-07,11,Saturday,67,Mist,1510
149,2011-01-07,12,Saturday,59,Mist,1510
150,2011-01-07,13,Saturday,73,Mist,1510
151,2011-01-07,14,Saturday,50,Mist,1510
152,2011-01-07,15,Saturday,72,Mist,1510
153,2011-01-07,16,Saturday,87,Mist,1510
154,2011-01-07,17,Saturday,187,Mist,1510
155,2011-01-07,18,Saturday,123,Mist,1510
156,2011-01-07,19,Saturday,95,Mist,1510
157,2011-01-07,20,Saturday,51,Mist,1510
158,2011-01-07,21,Saturday,39,Mist,1510
159,2011-01-07,22,Saturday,36,Mist,1510
160,2011-01-07,23,Saturday,15,Mist,1510
161,2011-01-08,0,Sunday,25,Mist,959
162,2011-01-08,1,Sunday,16,Mist,959
163,2011-01-08,2,Sunday,16,Mist,959
164,2011-01-08,3,Sunday,7,Mist,959
165,2011-01-08,4,Sunday,1,Mist,959
166,2011-01-08,5,Sunday,5,Mist,959
167,2011-01-08,6,Sunday,2,Mist,959
168,2011-01-08,7,Sunday,9,Mist,959
169,2011-01-08,8,Sunday,15,Mist,959
170,2011-01-08,9,Sunday,20,Mist,959
171,2011-01-08,10,Sunday,61,Mist,959
172,2011-01-08,11,Sunday,62,Mist,959
173,2011-01-08,12,Sunday,98,Mist,959
174,2011-01-08,13,Sunday,102,Mist,959
175,2011-01-08,14,Sunday,95,Mist,959
176,2011-01-08,15,Sunday,74,Mist,959
177,2011-01-08,16,Sunday,76,Mist,959
178,2011-01-08,17,Sunday,69,Mist,959
179,2011-01-08,18,Sunday,55,Mist,959
180,2011-01-08,19,Sunday,30,Mist,959
181,2011-01-08,20,Sunday,28,Mist,959
182,2011-01-08,21,Sunday,37,Mist,959
183,2011-01-08,22,Sunday,34,Mist,959
184,2011-01-08,23,Sunday,22,Mist,959
185,2011-01-09,0,Monday,25,Clear,822
186,2011-01-09,1,Monday,12,Clear,822
187,2011-01-09,2,Monday,11,Clear,822
188,2011-01-09,3,Monday,4,Clear,822
189,2011-01-09,4,Monday,1,Clear,822
190,2011-01-09,5,Monday,1,Clear,822
191,2011-01-09,6,Monday,1,Clear,822
192,2011-01-09,7,Monday,6,Clear,822
193,2011-01-09,8,Monday,10,Clear,822
194,2011-01-09,9,Monday,19,Clear,822
195,2011-01-09,10,Monday,49,Clear,822
196,2011-01-09,11,Monday,49,Clear,822
197,2011-01-09,12,Monday,83,Clear,822
198,2011-01-09,13,Monday,75,Clear,822
199,2011-01-09,14,Monday,72,Clear,822
200,2011-01-09,15,Monday,82,Clear,822
201,2011-01-09,16,Monday,92,Clear,822
202,2011-01-09,17,Monday,62,Clear,822
203,2011-01-09,18,Monday,48,Clear,822
204,2011-01-09,19,Monday,41,Clear,822
205,2011-01-09,20,Monday,38,Clear,822
206,2011-01-09,21,Monday,20,Clear,822
207,2011-01-09,22,Monday,15,Clear,822
208,2011-01-09,23,Monday,6,Clear,822
209,2011-01-10,0,Tuesday,5,Clear,1321
210,2011-01-10,1,Tuesday,1,Clear,1321
211,2011-01-10,2,Tuesday,3,Clear,1321
212,2011-01-10,3,Tuesday,1,Clear,1321
213,2011-01-10,4,Tuesday,3,Clear,1321
214,2011-01-10,5,Tuesday,3,Clear,1321
215,2011-01-10,6,Tuesday,31,Clear,1321
216,2011-01-10,7,Tuesday,77,Clear,1321
217,2011-01-10,8,Tuesday,188,Clear,1321
218,2011-01-10,9,Tuesday,94,Clear,1321
219,2011-01-10,10,Tuesday,31,Clear,1321
220,2011-01-10,11,Tuesday,30,Clear,1321
221,2011-01-10,12,Tuesday,52,Clear,1321
222,2011-01-10,13,Tuesday,54,Clear,1321
223,2011-01-10,14,Tuesday,47,Clear,1321
224,2011-01-10,15,Tuesday,45,Clear,1321
225,2011-01-10,16,Tuesday,74,Clear,1321
226,2011-01-10,17,Tuesday,178,Clear,1321
227,2011-01-10,18,Tuesday,155,Clear,1321
228,2011-01-10,19,Tuesday,95,Clear,1321
229,2011-01-10,20,Tuesday,74,Clear,1321
230,2011-01-10,21,Tuesday,38,Clear,1321
231,2011-01-10,22,Tuesday,24,Clear,1321
232,2011-01-10,23,Tuesday,18,Clear,1321
233,2011-01-11,0,Wednesday,12,Mist,1263
234,2011-01-11,1,Wednesday,3,Mist,1263
235,2011-01-11,2,Wednesday,3,Mist,1263
236,2011-01-11,5,Wednesday,6,Mist,1263
237,2011-01-11,6,Wednesday,27,Mist,1263
238,2011-01-11,7,Wednesday,99,Mist,1263
239,2011-01-11,8,Wednesday,217,Mist,1263
240,2011-01-11,9,Wednesday,130,Mist,1263
241,2011-01-11,10,Wednesday,54,Mist,1263
242,2011-01-11,11,Wednesday,35,Mist,1263
243,2011-01-11,12,Wednesday,57,Mist,1263
244,2011-01-11,13,Wednesday,52,Mist,1263
245,2011-01-11,14,Wednesday,63,Mist,1263
246,2011-01-11,15,Wednesday,47,Mist,1263
247,2011-01-11,16,Wednesday,76,Mist,1263
248,2011-01-11,17,Wednesday,136,Mist,1263
249,2011-01-11,18,Wednesday,95,Mist,1263
250,2011-01-11,19,Wednesday,51,Mist,1263
251,2011-01-11,20,Wednesday,32,Mist,1263
252,2011-01-11,21,Wednesday,20,Mist,1263
253,2011-01-11,22,Wednesday,29,Mist,1263
254,2011-01-11,23,Wednesday,19,Mist,1263
255,2011-01-12,0,Thursday,7,Clear,1162
256,2011-01-12,1,Thursday,6,Clear,1162
257,2011-01-12,2,Thursday,1,Clear,1162
258,2011-01-12,5,Thursday,5,Clear,1162
259,2011-01-12,6,Thursday,16,Clear,1162
260,2011-01-12,7,Thursday,54,Clear,1162
261,2011-01-12,8,Thursday,128,Clear,1162
262,2011-01-12,9,Thursday,81,Clear,1162
263,2011-01-12,10,Thursday,39,Clear,1162
264,2011-01-12,11,Thursday,35,Clear,1162
265,2011-01-12,12,Thursday,55,Clear,1162
266,2011-01-12,13,Thursday,49,Clear,1162
267,2011-01-12,14,Thursday,44,Clear,1162
268,2011-01-12,15,Thursday,49,Clear,1162
269,2011-01-12,16,Thursday,68,Clear,1162
270,2011-01-12,17,Thursday,139,Clear,1162
271,2011-01-12,18,Thursday,137,Clear,1162
272,2011-01-12,19,Thursday,83,Clear,1162
273,2011-01-12,20,Thursday,56,Clear,1162
274,2011-01-12,21,Thursday,57,Clear,1162
275,2011-01-12,22,Thursday,33,Clear,1162
276,2011-01-12,23,Thursday,20,Clear,1162
277,2011-01-13,0,Friday,7,Clear,1406
278,2011-01-13,1,Friday,2,Clear,1406
279,2011-01-13,2,Friday,2,Clear,1406
280,2011-01-13,3,Friday,3,Clear,1406
281,2011-01-13,4,Friday,4,Clear,1406
282,2011-01-13,5,Friday,3,Clear,1406
283,2011-01-13,6,Friday,28,Clear,1406
284,2011-01-13,7,Friday,72,Clear,1406
285,2011-01-13,8,Friday,202,Clear,1406
286,2011-01-13,9,Friday,139,Clear,1406
287,2011-01-13,10,Friday,38,Clear,1406
288,2011-01-13,11,Friday,37,Clear,1406
289,2011-01-13,12,Friday,52,Clear,1406
290,2011-01-13,13,Friday,83,Clear,1406
291,2011-01-13,14,Friday,42,Clear,1406
292,2011-01-13,15,Friday,60,Clear,1406
293,2011-01-13,16,Friday,78,Clear,1406
294,2011-01-13,17,Friday,162,Clear,1406
295,2011-01-13,18,Friday,144,Clear,1406
296,2011-01-13,19,Friday,99,Clear,1406
297,2011-01-13,20,Friday,64,Clear,1406
298,2011-01-13,21,Friday,40,Clear,1406
299,2011-01-13,22,Friday,30,Clear,1406
300,2011-01-13,23,Friday,15,Clear,1406
301,2011-01-14,0,Saturday,14,Clear,1421
302,2011-01-14,1,Saturday,5,Clear,1421
303,2011-01-14,2,Saturday,1,Clear,1421
304,2011-01-14,3,Saturday,1,Clear,1421
305,2011-01-14,5,Saturday,8,Clear,1421
306,2011-01-14,6,Saturday,17,Clear,1421
307,2011-01-14,7,Saturday,70,Clear,1421
308,2011-01-14,8,Saturday,158,Clear,1421
309,2011-01-14,9,Saturday,117,Clear,1421
310,2011-01-14,10,Saturday,44,Clear,1421
311,2011-01-14,11,Saturday,53,Clear,1421
312,2011-01-14,12,Saturday,61,Clear,1421
313,2011-01-14,13,Saturday,77,Clear,1421
314,2011-01-14,14,Saturday,64,Clear,1421
315,2011-01-14,15,Saturday,68,Clear,1421
316,2011-01-14,16,Saturday,90,Clear,1421
317,2011-01-14,17,Saturday,159,Clear,1421
318,2011-01-14,18,Saturday,139,Clear,1421
319,2011-01-14,19,Saturday,92,Clear,1421
320,2011-01-14,20,Saturday,68,Clear,1421
321,2011-01-14,21,Saturday,52,Clear,1421
322,2011-01-14,22,Saturday,36,Clear,1421
323,2011-01-14,23,Saturday,27,Clear,1421
324,2011-01-15,0,Sunday,28,Mist,1248
325,2011-01-15,1,Sunday,20,Mist,1248
326,2011-01-15,2,Sunday,12,Mist,1248
327,2011-01-15,3,Sunday,8,Mist,1248
328,2011-01-15,4,Sunday,5,Mist,1248
329,2011-01-15,5,Sunday,1,Mist,1248
330,2011-01-15,6,Sunday,3,Mist,1248
331,2011-01-15,7,Sunday,10,Mist,1248
332,2011-01-15,8,Sunday,23,Mist,1248
333,2011-01-15,9,Sunday,33,Mist,1248
334,2011-01-15,10,Sunday,59,Mist,1248
335,2011-01-15,11,Sunday,72,Mist,1248
336,2011-01-15,12,Sunday,89,Mist,1248
337,2011-01-15,13,Sunday,101,Mist,1248
338,2011-01-15,14,Sunday,118,Mist,1248
339,2011-01-15,15,Sunday,129,Mist,1248
340,2011-01-15,16,Sunday,128,Mist,1248
341,2011-01-15,17,Sunday,83,Mist,1248
342,2011-01-15,18,Sunday,84,Mist,1248
343,2011-01-15,19,Sunday,74,Mist,1248
344,2011-01-15,20,Sunday,41,Mist,1248
345,2011-01-15,21,Sunday,57,Mist,1248
346,2011-01-15,22,Sunday,26,Mist,1248
347,2011-01-15,23,Sunday,44,Mist,1248
348,2011-01-16,0,Monday,39,Clear,1204
349,2011-01-16,1,Monday,23,Clear,1204
350,2011-01-16,2,Monday,16,Clear,1204
351,2011-01-16,3,Monday,15,Clear,1204
352,2011-01-16,4,Monday,1,Clear,1204
353,2011-01-16,5,Monday,2,Clear,1204
354,2011-01-16,6,Monday,1,Clear,1204
355,2011-01-16,7,Monday,3,Clear,1204
356,2011-01-16,8,Monday,18,Clear,1204
357,2011-01-16,9,Monday,32,Clear,1204
358,2011-01-16,10,Monday,79,Clear,1204
359,2011-01-16,11,Monday,93,Clear,1204
360,2011-01-16,12,Monday,104,Clear,1204
361,2011-01-16,13,Monday,118,Clear,1204
362,2011-01-16,14,Monday,91,Clear,1204
363,2011-01-16,15,Monday,113,Clear,1204
364,2011-01-16,16,Monday,99,Clear,1204
365,2011-01-16,17,Monday,105,Clear,1204
366,2011-01-16,18,Monday,67,Clear,1204
367,2011-01-16,19,Monday,61,Clear,1204
368,2011-01-16,20,Monday,57,Clear,1204
369,2011-01-16,21,Monday,28,Clear,1204
370,2011-01-16,22,Monday,21,Clear,1204
371,2011-01-16,23,Monday,18,Clear,1204
372,2011-01-17,0,Tuesday,17,Mist,1000
373,2011-01-17,1,Tuesday,16,Mist,1000
374,2011-01-17,2,Tuesday,8,Mist,1000
375,2011-01-17,3,Tuesday,2,Mist,1000
376,2011-01-17,4,Tuesday,3,Mist,1000
377,2011-01-17,5,Tuesday,1,Mist,1000
378,2011-01-17,6,Tuesday,5,Mist,1000
379,2011-01-17,7,Tuesday,13,Mist,1000
380,2011-01-17,8,Tuesday,33,Mist,1000
381,2011-01-17,9,Tuesday,47,Mist,1000
382,2011-01-17,10,Tuesday,57,Mist,1000
383,2011-01-17,11,Tuesday,64,Mist,1000
384,2011-01-17,12,Tuesday,80,Mist,1000
385,2011-01-17,13,Tuesday,93,Mist,1000
386,2011-01-17,14,Tuesday,86,Mist,1000
387,2011-01-17,15,Tuesday,93,Mist,1000
388,2011-01-17,16,Tuesday,82,Mist,1000
389,2011-01-17,17,Tuesday,71,Mist,1000
390,2011-01-17,18,Tuesday,92,Mist,1000
391,2011-01-17,19,Tuesday,60,Mist,1000
392,2011-01-17,20,Tuesday,33,Mist,1000
393,2011-01-17,21,Tuesday,27,Mist,1000
394,2011-01-17,22,Tuesday,13,Mist,1000
395,2011-01-17,23,Tuesday,4,Mist,1000
396,2011-01-18,12,Wednesday,3,Mist,683
397,2011-01-18,13,Wednesday,22,Mist,683
398,2011-01-18,14,Wednesday,28,Mist,683
399,2011-01-18,15,Wednesday,35,Mist,683
400,2011-01-18,16,Wednesday,61,Mist,683
401,2011-01-18,17,Wednesday,125,Mist,683
402,2011-01-18,18,Wednesday,133,Mist,683
403,2011-01-18,19,Wednesday,99,Mist,683
404,2011-01-18,20,Wednesday,83,Mist,683
405,2011-01-18,21,Wednesday,41,Mist,683
406,2011-01-18,22,Wednesday,33,Mist,683
407,2011-01-18,23,Wednesday,20,Mist,683
408,2011-01-19,0,Thursday,3,Mist,1650
409,2011-01-19,1,Thursday,7,Mist,1650
410,2011-01-19,2,Thursday,3,Mist,1650
411,2011-01-19,4,Thursday,2,Mist,1650
412,2011-01-19,5,Thursday,7,Mist,1650
413,2011-01-19,6,Thursday,32,Mist,1650
414,2011-01-19,7,Thursday,90,Mist,1650
415,2011-01-19,8,Thursday,197,Mist,1650
416,2011-01-19,9,Thursday,109,Mist,1650
417,2011-01-19,10,Thursday,47,Mist,1650
418,2011-01-19,11,Thursday,52,Mist,1650
419,2011-01-19,12,Thursday,70,Mist,1650
420,2011-01-19,13,Thursday,78,Mist,1650
421,2011-01-19,14,Thursday,75,Mist,1650
422,2011-01-19,15,Thursday,82,Mist,1650
423,2011-01-19,16,Thursday,104,Mist,1650
424,2011-01-19,17,Thursday,197,Mist,1650
425,2011-01-19,18,Thursday,161,Mist,1650
426,2011-01-19,19,Thursday,112,Mist,1650
427,2011-01-19,20,Thursday,76,Mist,1650
428,2011-01-19,21,Thursday,59,Mist,1650
429,2011-01-19,22,Thursday,59,Mist,1650
430,2011-01-19,23,Thursday,28,Mist,1650
431,2011-01-20,0,Friday,13,Mist,1927
432,2011-01-20,1,Friday,5,Mist,1927
433,2011-01-20,2,Friday,2,Mist,1927
434,2011-01-20,3,Friday,1,Mist,1927
435,2011-01-20,4,Friday,1,Mist,1927
436,2011-01-20,5,Friday,6,Mist,1927
437,2011-01-20,6,Friday,35,Mist,1927
438,2011-01-20,7,Friday,101,Mist,1927
439,2011-01-20,8,Friday,249,Mist,1927
440,2011-01-20,9,Friday,143,Mist,1927
441,2011-01-20,10,Friday,57,Mist,1927
442,2011-01-20,11,Friday,68,Mist,1927
443,2011-01-20,12,Friday,84,Mist,1927
444,2011-01-20,13,Friday,98,Mist,1927
445,2011-01-20,14,Friday,81,Mist,1927
446,2011-01-20,15,Friday,70,Mist,1927
447,2011-01-20,16,Friday,91,Mist,1927
448,2011-01-20,17,Friday,215,Mist,1927
449,2011-01-20,18,Friday,185,Mist,1927
450,2011-01-20,19,Friday,152,Mist,1927
451,2011-01-20,20,Friday,126,Mist,1927
452,2011-01-20,21,Friday,57,Mist,1927
453,2011-01-20,22,Friday,56,Mist,1927
454,2011-01-20,23,Friday,31,Mist,1927
455,2011-01-21,0,Saturday,21,Clear,1543
456,2011-01-21,1,Saturday,6,Clear,1543
457,2011-01-21,2,Saturday,2,Clear,1543
458,2011-01-21,3,Saturday,1,Clear,1543
459,2011-01-21,4,Saturday,1,Clear,1543
460,2011-01-21,5,Saturday,5,Clear,1543
461,2011-01-21,6,Saturday,27,Clear,1543
462,2011-01-21,7,Saturday,68,Clear,1543
463,2011-01-21,8,Saturday,217,Clear,1543
464,2011-01-21,9,Saturday,166,Clear,1543
465,2011-01-21,10,Saturday,63,Clear,1543
466,2011-01-21,11,Saturday,59,Clear,1543
467,2011-01-21,12,Saturday,78,Clear,1543
468,2011-01-21,13,Saturday,73,Clear,1543
469,2011-01-21,14,Saturday,62,Clear,1543
470,2011-01-21,15,Saturday,65,Clear,1543
471,2011-01-21,16,Saturday,97,Clear,1543
472,2011-01-21,17,Saturday,161,Clear,1543
473,2011-01-21,18,Saturday,120,Clear,1543
474,2011-01-21,19,Saturday,96,Clear,1543
475,2011-01-21,20,Saturday,53,Clear,1543
476,2011-01-21,21,Saturday,41,Clear,1543
477,2011-01-21,22,Saturday,34,Clear,1543
478,2011-01-21,23,Saturday,27,Clear,1543
479,2011-01-22,0,Sunday,13,Clear,981
480,2011-01-22,1,Sunday,12,Clear,981
481,2011-01-22,2,Sunday,11,Clear,981
482,2011-01-22,3,Sunday,7,Clear,981
483,2011-01-22,4,Sunday,3,Clear,981
484,2011-01-22,6,Sunday,2,Clear,981
485,2011-01-22,7,Sunday,8,Clear,981
486,2011-01-22,8,Sunday,27,Clear,981
487,2011-01-22,9,Sunday,40,Clear,981
488,2011-01-22,10,Sunday,53,Clear,981
489,2011-01-22,11,Sunday,63,Clear,981
490,2011-01-22,12,Sunday,70,Clear,981
491,2011-01-22,13,Sunday,84,Clear,981
492,2011-01-22,14,Sunday,75,Clear,981
493,2011-01-22,15,Sunday,103,Clear,981
494,2011-01-22,16,Sunday,83,Clear,981
495,2011-01-22,17,Sunday,67,Clear,981
496,2011-01-22,18,Sunday,54,Clear,981
497,2011-01-22,19,Sunday,59,Clear,981
498,2011-01-22,20,Sunday,45,Clear,981
499,2011-01-22,21,Sunday,39,Clear,981
500,2011-01-22,22,Sunday,30,Clear,981
501,2011-01-22,23,Sunday,33,Clear,981
502,2011-01-23,0,Monday,22,Clear,986
503,2011-01-23,1,Monday,13,Clear,986
504,2011-01-23,2,Monday,18,Clear,986
505,2011-01-23,3,Monday,5,Clear,986
506,2011-01-23,5,Monday,3,Clear,986
507,2011-01-23,6,Monday,1,Clear,986
508,2011-01-23,7,Monday,2,Clear,986
509,2011-01-23,8,Monday,19,Clear,986
510,2011-01-23,9,Monday,28,Clear,986
511,2011-01-23,10,Monday,58,Clear,986
512,2011-01-23,11,Monday,99,Clear,986
513,2011-01-23,12,Monday,116,Clear,986
514,2011-01-23,13,Monday,87,Clear,986
515,2011-01-23,14,Monday,110,Clear,986
516,2011-01-23,15,Monday,77,Clear,986
517,2011-01-23,16,Monday,65,Clear,986
518,2011-01-23,17,Monday,55,Clear,986
519,2011-01-23,18,Monday,49,Clear,986
520,2011-01-23,19,Monday,50,Clear,986
521,2011-01-23,20,Monday,35,Clear,986
522,2011-01-23,21,Monday,25,Clear,986
523,2011-01-23,22,Monday,28,Clear,986
524,2011-01-23,23,Monday,21,Clear,986
525,2011-01-24,0,Tuesday,7,Clear,1416
526,2011-01-24,1,Tuesday,1,Clear,1416
527,2011-01-24,3,Tuesday,1,Clear,1416
528,2011-01-24,4,Tuesday,1,Clear,1416
529,2011-01-24,5,Tuesday,5,Clear,1416
530,2011-01-24,6,Tuesday,15,Clear,1416
531,2011-01-24,7,Tuesday,84,Clear,1416
532,2011-01-24,8,Tuesday,177,Clear,1416
533,2011-01-24,9,Tuesday,102,Clear,1416
534,2011-01-24,10,Tuesday,40,Clear,1416
535,2011-01-24,11,Tuesday,46,Clear,1416
536,2011-01-24,12,Tuesday,63,Clear,1416
537,2011-01-24,13,Tuesday,60,Clear,1416
538,2011-01-24,14,Tuesday,45,Clear,1416
539,2011-01-24,15,Tuesday,57,Clear,1416
540,2011-01-24,16,Tuesday,70,Clear,1416
541,2011-01-24,17,Tuesday,184,Clear,1416
542,2011-01-24,18,Tuesday,153,Clear,1416
543,2011-01-24,19,Tuesday,106,Clear,1416
544,2011-01-24,20,Tuesday,81,Clear,1416
545,2011-01-24,21,Tuesday,59,Clear,1416
546,2011-01-24,22,Tuesday,35,Clear,1416
547,2011-01-24,23,Tuesday,24,Clear,1416
548,2011-01-25,0,Wednesday,9,Mist,1985
549,2011-01-25,1,Wednesday,5,Mist,1985
550,2011-01-25,2,Wednesday,2,Mist,1985
551,2011-01-25,4,Wednesday,1,Mist,1985
552,2011-01-25,5,Wednesday,9,Mist,1985
553,2011-01-25,6,Wednesday,36,Mist,1985
554,2011-01-25,7,Wednesday,108,Mist,1985
555,2011-01-25,8,Wednesday,238,Mist,1985
556,2011-01-25,9,Wednesday,144,Mist,1985
557,2011-01-25,10,Wednesday,55,Mist,1985
558,2011-01-25,11,Wednesday,61,Mist,1985
559,2011-01-25,12,Wednesday,106,Mist,1985
560,2011-01-25,13,Wednesday,93,Mist,1985
561,2011-01-25,14,Wednesday,68,Mist,1985
562,2011-01-25,15,Wednesday,84,Mist,1985
